image_id,split,label,EAR,MAR,Circularity,MOE
train_8248,train,drowsy,0.2751,0.7106,0.4848,2.5832
train_4670,train,drowsy,0.2232,0.8942,0.4604,4.0068
train_510,train,drowsy,0.2714,0.8038,0.5266,2.9619
train_5473,train,drowsy,0.2915,0.7787,0.5152,2.6711
train_6617,train,drowsy,0.2873,0.7071,0.4875,2.4612
train_8874,train,drowsy,0.2918,0.8151,0.5112,2.7937
train_2542,train,drowsy,0.3293,0.7844,0.5273,2.3824
train_8874,train,drowsy,0.2918,0.8151,0.5112,2.7937
train_4214,train,drowsy,0.2804,0.7915,0.502,2.8229
train_4186,train,drowsy,0.24,0.7842,0.5134,3.2674
train_9115,train,drowsy,0.326,0.7979,0.5337,2.4478
train_7394,train,drowsy,0.3041,0.8748,0.5107,2.8769
train_9377,train,drowsy,0.2982,0.816,0.515,2.7358
train_9681,train,drowsy,0.284,0.8008,0.5222,2.8201
train_4363,train,drowsy,0.3031,0.9303,0.5168,3.0688
train_5123,train,drowsy,0.2727,0.8875,0.503,3.2547
train_9377,train,drowsy,0.2982,0.816,0.515,2.7358
train_9536,train,drowsy,0.3102,0.7626,0.5016,2.4587
train_384,train,drowsy,0.3161,0.795,0.5202,2.5154
train_763,train,drowsy,0.2135,0.8152,0.4758,3.8177
train_826,train,drowsy,0.1837,0.7822,0.4623,4.2573
train_763,train,drowsy,0.2135,0.8152,0.4758,3.8177
train_2187,train,drowsy,0.1991,0.8338,0.4698,4.1883
train_7859,train,drowsy,0.3127,0.7501,0.503,2.3985
train_6981,train,drowsy,0.3089,0.8232,0.4953,2.6649
train_3936,train,drowsy,0.3106,0.756,0.5103,2.4342
train_6452,train,drowsy,0.3311,0.8322,0.5312,2.5131
train_7035,train,drowsy,0.2729,0.8007,0.5038,2.9344
train_2113,train,drowsy,0.2769,0.7811,0.4963,2.821
train_6936,train,drowsy,0.3227,0.7078,0.5073,2.1938
train_5895,train,drowsy,0.3423,0.8097,0.5435,2.3657
train_9659,train,drowsy,0.3305,0.7803,0.5322,2.361
train_557,train,drowsy,0.3363,0.7913,0.542,2.3528
train_5895,train,drowsy,0.3423,0.8097,0.5435,2.3657
train_4806,train,drowsy,0.3168,0.8208,0.5049,2.5911
train_1621,train,drowsy,0.3247,0.8085,0.5255,2.4897
train_9184,train,drowsy,0.3005,0.8159,0.5065,2.715
train_7504,train,drowsy,0.3208,0.795,0.5267,2.4779
train_411,train,drowsy,0.3054,0.7586,0.5025,2.4836
train_411,train,drowsy,0.3054,0.7586,0.5025,2.4836
train_8100,train,drowsy,0.303,0.785,0.4886,2.5903
train_6549,train,drowsy,0.3181,0.79,0.522,2.4835
train_7070,train,drowsy,0.3184,0.7908,0.526,2.484
train_7070,train,drowsy,0.3184,0.7908,0.526,2.484
train_4890,train,drowsy,0.3363,1.1357,0.531,3.3777
train_9611,train,drowsy,0.3554,1.1109,0.5452,3.1255
train_6470,train,drowsy,0.3549,1.0243,0.5541,2.8864
train_7657,train,drowsy,0.3255,0.6215,0.4989,1.9093
train_95,train,drowsy,0.3083,0.7708,0.4942,2.5005
train_5353,train,drowsy,0.2974,0.6946,0.4917,2.3355
train_5353,train,drowsy,0.2974,0.6946,0.4917,2.3355
train_8452,train,drowsy,0.3144,0.7941,0.5172,2.5255
train_1900,train,drowsy,0.3095,0.7748,0.4933,2.5033
train_1683,train,drowsy,0.2906,0.8184,0.4892,2.816
train_7729,train,drowsy,0.3094,0.7729,0.5042,2.4983
train_6366,train,drowsy,0.2984,0.7786,0.4877,2.6095
train_7729,train,drowsy,0.3094,0.7729,0.5042,2.4983
train_7591,train,drowsy,0.3198,0.7168,0.522,2.2414
train_2685,train,drowsy,0.3063,0.6079,0.4942,1.9844
train_6806,train,drowsy,0.31,0.6318,0.4873,2.038
train_6885,train,drowsy,0.3007,0.5321,0.4822,1.7697
train_7591,train,drowsy,0.3198,0.7168,0.522,2.2414
train_1917,train,drowsy,0.3107,0.7564,0.5104,2.4343
train_1147,train,drowsy,0.2981,0.7106,0.5109,2.3837
train_7121,train,drowsy,0.2948,0.8413,0.4933,2.8535
train_9266,train,drowsy,0.3152,0.8669,0.5284,2.7504
train_972,train,drowsy,0.3097,0.6253,0.4942,2.0192
train_4302,train,drowsy,0.3175,0.7478,0.5184,2.3552
train_9012,train,drowsy,0.3113,0.7727,0.5159,2.4821
train_9012,train,drowsy,0.3113,0.7727,0.5159,2.4821
train_9012,train,drowsy,0.3113,0.7727,0.5159,2.4821
train_3389,train,drowsy,0.3317,0.7634,0.5156,2.3014
train_3879,train,drowsy,0.338,0.8443,0.5482,2.4976
train_934,train,drowsy,0.3033,0.7427,0.5038,2.4488
train_5371,train,drowsy,0.3249,0.8622,0.5304,2.6539
train_934,train,drowsy,0.3033,0.7427,0.5038,2.4488
train_6043,train,drowsy,0.3187,0.663,0.5221,2.0803
train_701,train,drowsy,0.3034,0.76,0.5517,2.5054
train_3886,train,drowsy,0.3223,0.6484,0.5239,2.012
train_2950,train,drowsy,0.3225,0.772,0.534,2.3941
train_5997,train,drowsy,0.3189,0.7699,0.5423,2.4141
train_5997,train,drowsy,0.3189,0.7699,0.5423,2.4141
train_9490,train,drowsy,0.2766,0.7551,0.5069,2.7297
train_3031,train,drowsy,0.2829,0.7637,0.5139,2.6999
train_5022,train,drowsy,0.3535,0.8281,0.5148,2.3428
train_9490,train,drowsy,0.2766,0.7551,0.5069,2.7297
train_1009,train,drowsy,0.2817,0.7685,0.4955,2.7278
train_1009,train,drowsy,0.2817,0.7685,0.4955,2.7278
train_5888,train,drowsy,0.3676,1.0561,0.5717,2.8729
train_5468,train,drowsy,0.3765,1.0073,0.567,2.6753
train_1929,train,drowsy,0.3779,1.1557,0.523,3.0583
train_8984,train,drowsy,0.2118,0.9716,0.4419,4.5867
train_1285,train,drowsy,0.3787,0.9661,0.5295,2.5511
train_7276,train,drowsy,0.4581,1.0572,0.6595,2.3078
train_2986,train,drowsy,0.3915,1.07,0.5612,2.733
train_7178,train,drowsy,0.2985,0.8358,0.5104,2.7997
train_7461,train,drowsy,0.2792,0.803,0.4936,2.8757
train_5351,train,drowsy,0.414,1.0124,0.5708,2.4451
train_7271,train,drowsy,0.3342,0.8583,0.5703,2.5685
train_5203,train,drowsy,0.3583,0.9098,0.5207,2.5392
train_9427,train,drowsy,0.3795,1.003,0.5782,2.6429
train_4919,train,drowsy,0.3563,1.1103,0.5551,3.1158
train_1324,train,drowsy,0.2171,1.1802,0.4436,5.4354
train_2791,train,drowsy,0.1669,0.8478,0.4309,5.0798
train_3867,train,drowsy,0.1369,1.2254,0.3831,8.9533
train_4916,train,drowsy,0.1828,1.0411,0.4074,5.6936
train_929,train,drowsy,0.1984,1.0184,0.4287,5.1335
train_5523,train,drowsy,0.2224,0.8837,0.454,3.973
train_6446,train,drowsy,0.1764,1.095,0.405,6.2081
train_9143,train,drowsy,0.1298,1.1906,0.3208,9.1737
train_6238,train,drowsy,0.4362,0.7972,0.4866,1.8278
train_2302,train,drowsy,0.1243,1.3148,0.3114,10.581
train_927,train,drowsy,0.5166,0.8453,0.6206,1.6365
train_723,train,drowsy,0.1313,1.3675,0.3361,10.4124
train_3030,train,drowsy,0.2084,1.2755,0.417,6.1203
train_8526,train,drowsy,0.1263,1.2078,0.3214,9.566
train_4056,train,drowsy,0.4292,1.1168,0.6215,2.6024
train_2402,train,drowsy,0.324,1.0697,0.5527,3.3018
train_2550,train,drowsy,0.2389,1.0589,0.4925,4.432
train_7250,train,drowsy,0.3089,1.1799,0.5891,3.8193
train_7519,train,drowsy,0.3563,1.2159,0.6311,3.4122
train_3544,train,drowsy,0.3983,1.1504,0.6728,2.8884
train_1017,train,drowsy,0.3042,1.023,0.4982,3.3624
train_8294,train,drowsy,0.2832,1.1398,0.545,4.0242
train_4863,train,drowsy,0.2875,1.2403,0.5651,4.3134
train_4568,train,drowsy,0.4403,1.0347,0.5651,2.3499
train_1006,train,drowsy,0.3148,1.1608,0.5811,3.6877
train_4684,train,drowsy,0.4713,1.1026,0.6441,2.3395
train_821,train,drowsy,0.3954,0.6893,0.6441,1.7435
train_4881,train,drowsy,0.3643,0.7105,0.6273,1.95
train_2219,train,drowsy,0.2172,0.9404,0.4045,4.3298
train_1282,train,drowsy,0.2474,0.9136,0.4477,3.6929
train_3418,train,drowsy,0.1873,0.5324,0.3901,2.8426
train_6568,train,drowsy,0.1876,0.9172,0.3818,4.89
train_848,train,drowsy,0.4097,1.0925,0.6331,2.6668
train_6301,train,drowsy,0.4018,1.0826,0.6477,2.6946
train_5784,train,drowsy,0.44,1.1689,0.6395,2.6566
train_3254,train,drowsy,0.3193,1.1731,0.5246,3.6742
train_6930,train,drowsy,0.3046,1.0071,0.5358,3.3063
train_6589,train,drowsy,0.3531,1.0724,0.5777,3.0373
train_8406,train,drowsy,0.2983,1.2869,0.5156,4.314
train_4472,train,drowsy,0.3241,1.2384,0.5506,3.8207
train_952,train,drowsy,0.3111,0.8252,0.5888,2.6522
train_5643,train,drowsy,0.4494,0.9578,0.5758,2.1315
train_8364,train,drowsy,0.3656,0.7743,0.5756,2.1177
train_9058,train,drowsy,0.2996,0.9628,0.5667,3.2136
train_2227,train,drowsy,0.4544,0.9367,0.6411,2.0613
train_5839,train,drowsy,0.3184,1.2134,0.5523,3.8107
train_1876,train,drowsy,0.2535,1.0553,0.4534,4.1635
train_7246,train,drowsy,0.4699,0.9062,0.6549,1.9287
train_2622,train,drowsy,0.4471,0.965,0.629,2.1586
train_298,train,drowsy,0.2387,1.0357,0.449,4.3389
train_6139,train,drowsy,0.29,1.2206,0.3242,4.2093
train_6425,train,drowsy,0.4238,1.0895,0.6056,2.5706
train_8839,train,drowsy,0.4406,0.8937,0.6321,2.0281
train_8248,train,drowsy,0.2167,1.0276,0.4452,4.7425
train_8027,train,drowsy,0.4445,1.0982,0.6344,2.4707
train_5759,train,drowsy,0.4575,0.8917,0.6531,1.9493
train_8023,train,drowsy,0.4474,0.7815,0.6571,1.7468
train_3938,train,drowsy,0.2341,0.9579,0.452,4.0923
train_9813,train,drowsy,0.2597,0.8271,0.4374,3.1843
train_9549,train,drowsy,0.2519,1.1926,0.4657,4.7343
train_3189,train,drowsy,0.3302,0.6281,0.5504,1.902
train_1414,train,drowsy,0.2888,0.9887,0.4933,3.4239
train_6700,train,drowsy,0.3705,0.9343,0.5566,2.5217
train_25,train,drowsy,0.3549,0.8896,0.6017,2.5066
train_4052,train,drowsy,0.2044,0.6929,0.3722,3.39
train_5421,train,drowsy,0.4123,1.1566,0.5083,2.8051
train_8613,train,drowsy,0.0543,1.0161,0.4007,18.7174
train_985,train,drowsy,0.3622,0.7762,0.5232,2.1431
train_5421,train,drowsy,0.4123,1.1566,0.5083,2.8051
train_1785,train,drowsy,0.4337,1.053,0.3973,2.4277
train_7484,train,drowsy,0.4753,1.0396,0.5055,2.1873
train_9203,train,drowsy,0.58,0.9777,0.481,1.6857
train_1785,train,drowsy,0.4337,1.053,0.3973,2.4277
train_8455,train,drowsy,0.0604,1.2247,0.3814,20.2683
train_6453,train,drowsy,0.3594,1.0483,0.5336,2.9168
train_3927,train,drowsy,0.3268,0.9525,0.5846,2.9143
train_3447,train,drowsy,0.0647,0.9978,0.384,15.4286
train_3608,train,drowsy,0.4184,1.0061,0.5286,2.4046
train_405,train,drowsy,0.4529,1.0634,0.5389,2.3482
train_405,train,drowsy,0.4529,1.0634,0.5389,2.3482
train_5111,train,drowsy,0.4755,1.0697,0.5357,2.2496
train_9471,train,drowsy,0.1311,1.0138,0.3965,7.7351
train_7372,train,drowsy,0.0623,1.1201,0.3672,17.9698
train_5716,train,drowsy,0.4131,0.8221,0.5731,1.99
train_5194,train,drowsy,0.3857,0.7885,0.5778,2.0443
train_9789,train,drowsy,0.1068,1.0741,0.402,10.0585
train_7028,train,drowsy,0.1706,0.941,0.3815,5.5162
train_4748,train,drowsy,0.2154,0.9262,0.3889,4.2989
train_7028,train,drowsy,0.1706,0.941,0.3815,5.5162
train_2752,train,drowsy,0.408,0.8346,0.5683,2.0453
train_6076,train,drowsy,0.3718,1.0053,0.565,2.7036
train_3463,train,drowsy,0.376,0.8916,0.5192,2.3713
train_5317,train,drowsy,0.3575,1.0295,0.5484,2.8798
train_4895,train,drowsy,0.2312,0.7602,0.4383,3.2881
train_5354,train,drowsy,0.2872,1.0651,0.4808,3.7087
train_8668,train,drowsy,0.3006,1.0563,0.5163,3.5145
train_6802,train,drowsy,0.3058,0.9516,0.5233,3.1121
train_6684,train,drowsy,0.381,0.8003,0.5813,2.1006
train_7097,train,drowsy,0.1978,0.7743,0.4081,3.9153
train_4297,train,drowsy,0.3367,0.6444,0.5031,1.914
train_1883,train,drowsy,0.338,0.7426,0.4979,2.1968
train_8544,train,drowsy,0.3158,0.8667,0.4963,2.7447
train_8323,train,drowsy,0.2945,0.8197,0.4628,2.7831
train_2048,train,drowsy,0.4251,0.9133,0.6145,2.1486
train_5099,train,drowsy,0.2164,0.673,0.3537,3.1098
train_8138,train,drowsy,0.2279,0.684,0.3916,3.0009
train_5668,train,drowsy,0.2633,0.6469,0.4016,2.4572
train_3508,train,drowsy,0.1343,0.8189,0.3214,6.0969
train_993,train,drowsy,0.4763,1.0871,0.6468,2.2827
train_8015,train,drowsy,0.4296,1.0465,0.4982,2.4359
train_3155,train,drowsy,0.3439,0.8695,0.5323,2.5284
train_1916,train,drowsy,0.1681,0.8902,0.3787,5.2953
train_448,train,drowsy,0.3178,1.0484,0.5433,3.2993
train_1916,train,drowsy,0.1681,0.8902,0.3787,5.2953
train_3836,train,drowsy,0.2947,0.8618,0.4575,2.9246
train_9172,train,drowsy,0.3298,0.9892,0.5661,2.999
train_5586,train,drowsy,0.3727,0.8409,0.5601,2.2563
train_3978,train,drowsy,0.313,0.8329,0.4899,2.6615
train_4280,train,drowsy,0.3864,0.7954,0.5755,2.0588
train_953,train,drowsy,0.366,0.8169,0.5625,2.2319
train_8512,train,drowsy,0.2237,0.9024,0.4274,4.0336
train_2430,train,drowsy,0.3574,1.0322,0.5531,2.8881
train_9017,train,drowsy,0.2565,0.7878,0.5846,3.0714
train_374,train,drowsy,0.3182,0.8956,0.5161,2.8149
train_1904,train,drowsy,0.3752,0.8302,0.5718,2.2126
train_1271,train,drowsy,0.3161,0.9264,0.5224,2.9307
train_1565,train,drowsy,0.3306,0.9252,0.5474,2.7983
train_3025,train,drowsy,0.2805,0.8692,0.5081,3.0982
train_1211,train,drowsy,0.3639,0.8567,0.5709,2.3539
train_5989,train,drowsy,0.4123,1.2382,0.3978,3.0031
train_28,train,drowsy,0.4594,0.8904,0.672,1.9383
train_3504,train,drowsy,0.4479,0.8695,0.636,1.9412
train_4014,train,drowsy,0.4,0.8419,0.6022,2.1045
train_9398,train,drowsy,0.3091,1.0475,0.5204,3.389
train_67,train,drowsy,0.1641,0.78,0.3735,4.7537
train_9503,train,drowsy,0.3339,1.1143,0.5246,3.337
train_7773,train,drowsy,0.1251,0.9644,0.3722,7.7082
train_2490,train,drowsy,0.3006,0.9517,0.5106,3.1654
train_9989,train,drowsy,0.1567,0.6417,0.3751,4.0949
train_1555,train,drowsy,0.3172,1.0327,0.5256,3.256
train_3569,train,drowsy,0.3834,0.8782,0.5708,2.291
train_3580,train,drowsy,0.383,0.9085,0.6157,2.372
train_3171,train,drowsy,0.3747,1.0315,0.5503,2.7526
train_7979,train,drowsy,0.3907,1.0256,0.6019,2.6248
train_8849,train,drowsy,0.3908,1.0488,0.6052,2.6834
train_6944,train,drowsy,0.2857,0.8496,0.4534,2.9735
train_1746,train,drowsy,0.363,0.8952,0.5363,2.4663
train_5148,train,drowsy,0.408,1.0618,0.5679,2.6026
train_9273,train,drowsy,0.3455,0.8913,0.5288,2.58
train_5150,train,drowsy,0.2423,0.8525,0.4358,3.5179
train_6170,train,drowsy,0.3664,0.8267,0.569,2.2565
train_2233,train,drowsy,0.3439,1.0981,0.5507,3.1934
train_2117,train,drowsy,0.3685,1.0262,0.5616,2.7844
train_973,train,drowsy,0.3699,0.877,0.593,2.3708
train_4793,train,drowsy,0.3825,0.9981,0.6075,2.6095
train_3689,train,drowsy,0.3431,1.0403,0.5705,3.0321
train_6137,train,drowsy,0.2197,1.0591,0.4878,4.8205
train_2346,train,drowsy,0.1014,0.8406,0.3594,8.2921
train_1655,train,drowsy,0.3484,0.9891,0.5534,2.8387
train_7852,train,drowsy,0.3642,1.0785,0.5856,2.9613
train_4603,train,drowsy,0.3349,1.2168,0.5516,3.6335
train_8147,train,drowsy,0.2968,1.1447,0.4953,3.8564
train_717,train,drowsy,0.3268,0.8722,0.5683,2.6688
train_9873,train,drowsy,0.2671,1.0671,0.5054,3.9956
train_8273,train,drowsy,0.369,1.0215,0.6029,2.7684
train_37,train,drowsy,0.3471,0.8614,0.5594,2.4819
train_8187,train,drowsy,0.3639,1.1449,0.5892,3.1464
train_7038,train,drowsy,0.328,0.9981,0.5546,3.0434
train_1219,train,drowsy,0.3624,0.7933,0.564,2.1891
train_1429,train,drowsy,0.3217,0.9676,0.5362,3.0075
train_3993,train,drowsy,0.3015,0.8581,0.5116,2.8465
train_9383,train,drowsy,0.3297,0.8128,0.54,2.4654
train_164,train,drowsy,0.3722,0.8973,0.6118,2.4107
train_5549,train,drowsy,0.3048,1.0962,0.5622,3.5964
train_5997,train,drowsy,0.3098,0.8227,0.4965,2.656
train_4479,train,drowsy,0.3276,1.0076,0.5374,3.0757
train_1758,train,drowsy,0.3013,0.8091,0.507,2.6853
train_4596,train,drowsy,0.3296,0.7921,0.5362,2.4031
train_4719,train,drowsy,0.2923,0.7988,0.5024,2.7331
train_4691,train,drowsy,0.4089,1.0315,0.6368,2.5224
train_8057,train,drowsy,0.3591,1.2021,0.5656,3.3477
train_6531,train,drowsy,0.3633,1.1342,0.5794,3.1224
train_8170,train,drowsy,0.3964,1.1075,0.6233,2.7936
train_8783,train,drowsy,0.3375,1.0181,0.5599,3.0169
train_5399,train,drowsy,0.2339,0.841,0.4234,3.5958
train_9296,train,drowsy,0.2415,0.8291,0.4315,3.4336
train_4968,train,drowsy,0.3277,1.0027,0.5554,3.0602
train_2752,train,drowsy,0.2788,0.7928,0.4673,2.8437
train_5220,train,drowsy,0.2633,0.8718,0.4631,3.3114
train_4561,train,drowsy,0.2618,0.7798,0.4292,2.9787
train_9647,train,drowsy,0.2207,0.9899,0.4203,4.4851
train_491,train,drowsy,0.2485,0.8374,0.4087,3.37
train_5259,train,drowsy,0.2679,0.7885,0.4377,2.9437
train_9172,train,drowsy,0.2285,0.8516,0.4625,3.7262
train_291,train,drowsy,0.3053,0.7434,0.4934,2.435
train_3903,train,drowsy,0.2961,0.7605,0.5074,2.568
train_5055,train,drowsy,0.3032,0.7426,0.5129,2.4491
train_6796,train,drowsy,0.2234,0.7575,0.445,3.3915
train_6796,train,drowsy,0.2234,0.7575,0.445,3.3915
train_9661,train,drowsy,0.3424,1.1064,0.59,3.2309
train_6078,train,drowsy,0.3809,0.6955,0.5253,1.8259
train_7212,train,drowsy,0.2299,0.826,0.4099,3.5929
train_8651,train,drowsy,0.3089,1.1431,0.5578,3.7006
train_9577,train,drowsy,0.4591,0.8269,0.6443,1.801
train_5743,train,drowsy,0.4343,0.8113,0.5926,1.8679
train_3740,train,drowsy,0.4042,0.7996,0.5886,1.978
train_5526,train,drowsy,0.3277,0.6903,0.5019,2.1063
train_7530,train,drowsy,0.3896,1.0551,0.5757,2.7081
train_9865,train,drowsy,0.3216,0.7407,0.475,2.3033
train_1042,train,drowsy,0.3488,0.7336,0.5279,2.1031
train_1058,train,drowsy,0.4008,0.9273,0.592,2.3138
train_7013,train,drowsy,0.1316,1.0387,0.378,7.8938
train_3068,train,drowsy,0.3333,0.9048,0.5227,2.7144
train_4241,train,drowsy,0.2771,0.9218,0.5089,3.3267
train_5242,train,drowsy,0.3712,1.0683,0.608,2.8779
train_6302,train,drowsy,0.1192,1.0738,0.3396,9.0057
train_8274,train,drowsy,0.334,0.8729,0.549,2.6137
train_2363,train,drowsy,0.1081,0.8734,0.4369,8.0783
train_8973,train,drowsy,0.0874,0.9402,0.4109,10.7553
train_5870,train,drowsy,0.3696,1.0626,0.5282,2.8747
train_8708,train,drowsy,0.3967,1.0125,0.5815,2.5524
train_41,train,drowsy,0.3575,1.0473,0.5407,2.9299
train_9751,train,drowsy,0.3739,0.9433,0.5557,2.5228
train_9751,train,drowsy,0.3739,0.9433,0.5557,2.5228
train_9485,train,drowsy,0.3434,1.1336,0.4364,3.3014
train_2967,train,drowsy,0.4155,1.1717,0.5707,2.8203
train_5596,train,drowsy,0.3842,1.0774,0.5829,2.8044
train_9611,train,drowsy,0.3554,1.1109,0.5452,3.1255
train_3488,train,drowsy,0.4069,1.1728,0.5791,2.8827
train_1102,train,drowsy,0.3042,1.2001,0.6393,3.9445
train_6038,train,drowsy,0.3974,1.077,0.5284,2.7101
train_9437,train,drowsy,0.3687,0.999,0.5586,2.7092
train_2756,train,drowsy,0.3086,1.1105,0.4506,3.5979
train_8720,train,drowsy,0.3762,0.9192,0.4942,2.4433
train_5489,train,drowsy,0.1127,1.0966,0.3649,9.7314
train_4819,train,drowsy,0.3652,0.9776,0.4884,2.6766
train_9410,train,drowsy,0.3639,1.1147,0.5576,3.063
train_7801,train,drowsy,0.292,1.0013,0.4276,3.4286
train_4163,train,drowsy,0.3309,1.0662,0.3811,3.2225
train_1853,train,drowsy,0.3069,1.1021,0.4071,3.5911
train_1285,train,drowsy,0.3787,0.9661,0.5295,2.5511
train_7271,train,drowsy,0.3342,0.8583,0.5703,2.5685
train_7271,train,drowsy,0.3342,0.8583,0.5703,2.5685
train_7112,train,drowsy,0.3256,0.8253,0.4766,2.5347
train_7248,train,drowsy,0.3843,0.9793,0.5963,2.5483
train_3526,train,drowsy,0.3313,0.8867,0.5568,2.6767
train_9254,train,drowsy,0.3715,0.9149,0.5305,2.4629
train_2924,train,drowsy,0.5749,0.923,0.5129,1.6056
train_1029,train,drowsy,0.0679,1.0945,0.3491,16.1085
train_1874,train,drowsy,0.4777,1.1085,0.6947,2.3207
train_236,train,drowsy,0.2312,1.0488,0.3953,4.5372
train_3544,train,drowsy,0.3983,1.1504,0.6728,2.8884
train_7197,train,drowsy,0.1026,1.2726,0.3801,12.4074
train_9498,train,drowsy,0.1108,1.0007,0.3836,9.0339
train_4863,train,drowsy,0.2875,1.2403,0.5651,4.3134
train_9466,train,drowsy,0.1189,1.2395,0.3875,10.4248
train_6942,train,drowsy,0.2345,1.0479,0.4669,4.4692
train_822,train,drowsy,0.3656,1.1578,0.395,3.1668
train_2096,train,drowsy,0.3588,0.991,0.5892,2.7618
train_1596,train,drowsy,0.2657,1.2588,0.5201,4.7382
train_524,train,drowsy,0.0682,0.9464,0.4013,13.8692
train_6301,train,drowsy,0.4018,1.0826,0.6477,2.6946
train_3064,train,drowsy,0.427,0.9447,0.6612,2.2125
train_4241,train,drowsy,0.0725,0.8325,0.3985,11.4897
train_6346,train,drowsy,0.0865,1.0892,0.3435,12.5941
train_585,train,drowsy,0.3325,0.985,0.4961,2.962
train_7659,train,drowsy,0.336,1.0742,0.4584,3.1967
train_1737,train,drowsy,0.3663,0.7769,0.5491,2.1208
train_8921,train,drowsy,0.2077,0.9984,0.3331,4.8067
train_3146,train,drowsy,0.1866,1.229,0.4058,6.5858
train_7510,train,drowsy,0.3963,1.1293,0.5565,2.8495
train_3371,train,drowsy,0.182,1.0068,0.4058,5.5312
train_659,train,drowsy,0.4159,0.9171,0.5749,2.2052
train_405,train,drowsy,0.3847,1.1046,0.547,2.8715
train_6571,train,drowsy,0.2801,1.0626,0.4932,3.7941
train_3845,train,drowsy,0.2891,0.8965,0.5103,3.1016
train_9890,train,drowsy,0.3259,1.0632,0.5302,3.2622
train_1636,train,drowsy,0.2221,0.7898,0.4278,3.5555
train_9975,train,drowsy,0.4659,0.961,0.3657,2.0626
train_5336,train,drowsy,0.1861,0.8044,0.4762,4.3214
train_3449,train,drowsy,0.3643,0.8074,0.5571,2.2162
train_1876,train,drowsy,0.2535,1.0553,0.4534,4.1635
train_6168,train,drowsy,0.5427,0.9784,0.3655,1.8028
train_3819,train,drowsy,0.2986,1.1598,0.3729,3.8843
train_8141,train,drowsy,0.7091,1.1542,0.4044,1.6277
train_8248,train,drowsy,0.2167,1.0276,0.4452,4.7425
train_1754,train,drowsy,0.2811,1.055,0.4943,3.7527
train_5565,train,drowsy,0.3351,1.0642,0.562,3.1759
train_4787,train,drowsy,0.5541,1.0922,0.3985,1.971
train_8248,train,drowsy,0.2167,1.0276,0.4452,4.7425
train_9549,train,drowsy,0.2519,1.1926,0.4657,4.7343
train_9549,train,drowsy,0.2519,1.1926,0.4657,4.7343
train_1898,train,drowsy,0.251,1.1273,0.4898,4.4918
train_1707,train,drowsy,0.3616,0.8517,0.583,2.3551
train_5304,train,drowsy,0.1991,1.1228,0.3795,5.6399
train_8463,train,drowsy,0.1493,1.2171,0.3139,8.1514
train_4848,train,drowsy,0.2939,0.7174,0.4924,2.4408
train_4138,train,drowsy,0.422,1.0021,0.483,2.3746
train_5068,train,drowsy,0.285,0.9431,0.5007,3.3085
train_1414,train,drowsy,0.2888,0.9887,0.4933,3.4239
train_1414,train,drowsy,0.2888,0.9887,0.4933,3.4239
train_4907,train,drowsy,0.2604,0.9713,0.4532,3.7294
train_7324,train,drowsy,0.4563,0.9974,0.5072,2.1859
train_1531,train,drowsy,0.2755,0.9618,0.471,3.4919
train_5548,train,drowsy,0.3543,0.8973,0.5151,2.5324
train_7073,train,drowsy,0.0733,0.9625,0.4071,13.1371
train_1315,train,drowsy,0.4034,1.1822,0.5064,2.9303
train_7073,train,drowsy,0.0733,0.9625,0.4071,13.1371
train_9548,train,drowsy,0.337,1.077,0.6264,3.1958
train_7178,train,drowsy,0.3816,1.1771,0.4915,3.0846
train_7747,train,drowsy,0.0786,0.8568,0.4106,10.8971
train_2691,train,drowsy,0.3413,1.0553,0.5352,3.092
train_252,train,drowsy,0.3402,1.0217,0.5464,3.0033
train_3447,train,drowsy,0.0647,0.9978,0.384,15.4286
train_1621,train,drowsy,0.3116,1.0592,0.5171,3.3996
train_3447,train,drowsy,0.0647,0.9978,0.384,15.4286
train_9789,train,drowsy,0.1068,1.0741,0.402,10.0585
train_6343,train,drowsy,0.2734,1.3609,0.4763,4.9771
train_6290,train,drowsy,0.4357,1.2901,0.4435,2.961
train_2414,train,drowsy,0.0607,1.1639,0.362,19.1668
train_294,train,drowsy,0.0599,1.1647,0.3607,19.4578
train_9987,train,drowsy,0.4967,0.9596,0.5347,1.932
train_8813,train,drowsy,0.0679,1.1535,0.3644,16.9819
train_2941,train,drowsy,0.4793,0.9809,0.5453,2.0467
train_4783,train,drowsy,0.3875,0.8643,0.523,2.2301
train_3463,train,drowsy,0.376,0.8916,0.5192,2.3713
train_7268,train,drowsy,0.3475,1.0458,0.5394,3.0093
train_6802,train,drowsy,0.3058,0.9516,0.5233,3.1121
train_7042,train,drowsy,0.3003,1.0162,0.5024,3.3836
train_7742,train,drowsy,0.1102,1.2489,0.4017,11.3361
train_1681,train,drowsy,0.2578,0.9243,0.4462,3.5861
train_8621,train,drowsy,0.1578,0.9,0.4573,5.7018
train_4366,train,drowsy,0.5305,0.9212,0.4272,1.7363
train_5249,train,drowsy,0.3803,1.0621,0.6429,2.793
train_9092,train,drowsy,0.395,0.9443,0.6168,2.391
train_4953,train,drowsy,0.076,1.1122,0.4245,14.6296
train_3004,train,drowsy,0.4164,1.0029,0.3736,2.4085
train_1669,train,drowsy,0.4281,0.9856,0.4582,2.3022
train_4358,train,drowsy,0.3729,1.0587,0.5196,2.8394
train_2289,train,drowsy,0.3731,1.0517,0.4445,2.8187
train_2529,train,drowsy,0.3775,0.8837,0.6165,2.3408
